mode,repetition,priming_ok,ping_success,evidence_level,t_dispatch_enter_ns,t_pre_ctypes_ns,c_entry_ns,c_decision_done_ns,c_table_write_done_ns,c_install_done_ns,c_exit_ns,t_post_ctypes_ns,t_packetout_sent_ns,t_confirmed_ns,installed,confirmed,trial_order,t_parse_done_ns,t_state_update_done_ns,t_decision_done_ns,t_flowmod_sent_ns
persistent,30,1,1,measured_emulation,24191258700,24191365533,24191385154,24191385878,24191386602,24191410692,24191410820,24191413374,24191443764,24203309098,True,True,1,,,,
persistent,19,1,1,measured_emulation,31475241807,31475296810,31475307146,31475307567,31475307945,31475319878,31475319920,31475321223,31475336980,31476858811,True,True,2,,,,
process_per_rule,16,1,1,measured_emulation,36492084791,36492163673,36492181709,36492182504,36492182755,36502101882,36502102049,36502106401,36502145654,36503708857,True,True,3,,,,
persistent,28,1,1,measured_emulation,43777578215,43777634006,43777645816,43777646316,43777646775,43777668891,43777668933,43777670519,43777686918,43779795595,True,True,4,,,,
reactive_osken,23,1,1,measured_emulation,48577448252,,,,,,,,48577583203,48579310376,True,True,5,48577500673,48577501757,48577501965,48577574987
reactive_osken,2,1,1,measured_emulation,53320369110,,,,,,,,53320700175,53324629100,True,True,6,53320497418,53320500419,53320501003,53320680374
process_per_rule,17,1,1,measured_emulation,58184915726,58184987723,58185094862,58185095905,58185096363,58194474592,58194474758,58194479177,58194514863,58195979175,True,True,7,,,,
process_per_rule,7,1,1,measured_emulation,63114579598,63114653252,63114669884,63114670676,63114670926,63124488648,63124488815,63124493234,63124527039,63126609789,True,True,8,,,,
reactive_osken,26,1,1,measured_emulation,67965450802,,,,,,,,67965573090,67967384608,True,True,9,67965497691,67965498775,67965498983,67965565629
process_per_rule,20,1,1,measured_emulation,72837896099,72837965699,72837982120,72837982703,72837983036,72847195442,72847195609,72847200193,72847238869,72848884644,True,True,10,,,,
reactive_osken,18,1,1,measured_emulation,77822915961,,,,,,,,77823137588,77824873218,True,True,11,77822972764,77822974098,77822974306,77823128419
process_per_rule,25,1,1,measured_emulation,82722758233,82722884337,82722916551,82722920843,82722921468,82739638127,82739638294,82739644461,82739688761,82742318282,True,True,12,,,,
process_per_rule,13,1,1,measured_emulation,87514976036,87515155102,87515184356,87515186357,87515187273,87525693783,87525693950,87525698367,87525735039,87527414815,True,True,13,,,,
reactive_osken,5,1,1,measured_emulation,92413867473,,,,,,,,92414182802,92416363648,True,True,14,92413926813,92413928063,92413928272,92414173718
persistent,18,1,1,measured_emulation,99669400843,99669447765,99669456307,99669456599,99669456974,99669465808,99669465850,99669466808,99669479101,99671620569,True,True,15,,,,
process_per_rule,30,1,1,measured_emulation,104518667263,104518742687,104518760021,104518761230,104518761730,104528429836,104528430044,104528433836,104528469590,104529918724,True,True,16,,,,
