evidence_level,mode,network_size,repetition,flow_count,install_sum_us,install_mean_us,ping_success,python_cpu_s,python_max_rss_kib
measured_emulation,daim_adapter,8,1,8,106022.375,13252.796875,1,0.052314,14720
measured_emulation,daim_adapter,8,2,8,100917.567,12614.695875,1,0.07482799999999999,14720
measured_emulation,daim_adapter,8,3,8,101524.774,12690.59675,1,0.09727,14720
measured_emulation,daim_adapter,8,4,8,101536.298,12692.03725,1,0.119615,14848
measured_emulation,daim_adapter,8,5,8,103470.834,12933.85425,1,0.14204299999999997,14976
measured_emulation,daim_adapter,16,1,16,203202.812,12700.17575,1,0.18432099999999998,14976
measured_emulation,daim_adapter,16,2,16,206987.753,12936.7345625,1,0.232408,15104
measured_emulation,daim_adapter,16,3,16,205555.203,12847.2001875,1,0.27769299999999997,15104
measured_emulation,daim_adapter,16,4,16,203340.082,12708.755125,1,0.321295,15360
measured_emulation,daim_adapter,16,5,16,206560.266,12910.016625,1,0.369494,15488
measured_emulation,daim_adapter,32,1,32,431194.463,13474.82696875,1,0.449864,16000
measured_emulation,daim_adapter,32,2,32,430326.069,13447.68965625,1,0.540789,16000
measured_emulation,daim_adapter,32,3,32,428175.795,13380.49359375,1,0.639865,16000
measured_emulation,daim_adapter,32,4,32,431255.757,13476.74240625,1,0.7320369999999999,16000
measured_emulation,daim_adapter,32,5,32,419533.738,13110.4293125,1,0.820991,16256
measured_emulation,daim_adapter,64,1,64,1051950.898,16436.73278125,1,0.9860899999999999,16896
measured_emulation,daim_adapter,64,2,64,1030633.493,16103.648328125,1,1.1778689999999998,16896
measured_emulation,daim_adapter,64,3,64,1052589.653,16446.713328125,1,1.3567559999999999,17152
measured_emulation,daim_adapter,64,4,64,1027522.164,16055.0338125,1,1.5412489999999999,17536
measured_emulation,daim_adapter,64,5,64,1025346.065,16021.032265625,1,1.7257259999999999,17536
measured_emulation,direct_ovs,8,1,8,79434.38,9929.2975,1,1.774824,17536
measured_emulation,direct_ovs,8,2,8,79419.518,9927.43975,1,1.7984229999999999,17536
measured_emulation,direct_ovs,8,3,8,75841.05,9480.13125,1,1.8220560000000001,17536
measured_emulation,direct_ovs,8,4,8,76507.084,9563.3855,1,1.8443859999999999,17536
measured_emulation,direct_ovs,8,5,8,75773.244,9471.6555,1,1.867646,17536
measured_emulation,direct_ovs,16,1,16,154983.89800000002,9686.493625000001,1,1.909972,17536
measured_emulation,direct_ovs,16,2,16,151378.64,9461.165,1,1.955984,17536
measured_emulation,direct_ovs,16,3,16,153898.829,9618.6768125,1,2.0011390000000002,17536
measured_emulation,direct_ovs,16,4,16,153201.797,9575.1123125,1,2.046379,17536
measured_emulation,direct_ovs,16,5,16,159172.43,9948.276875,1,2.090595,17536
measured_emulation,direct_ovs,32,1,32,319959.163,9998.72384375,1,2.174479,17536
measured_emulation,direct_ovs,32,2,32,342800.736,10712.523,1,2.278659,17536
measured_emulation,direct_ovs,32,3,32,322619.882,10081.8713125,1,2.370303,17536
measured_emulation,direct_ovs,32,4,32,314435.067,9826.09584375,1,2.460031,17536
measured_emulation,direct_ovs,32,5,32,332883.722,10402.6163125,1,2.559953,17664
measured_emulation,direct_ovs,64,1,64,826606.365,12915.724453125,1,2.7339409999999997,18304
measured_emulation,direct_ovs,64,2,64,789538.584,12336.540375,1,2.930479,18432
measured_emulation,direct_ovs,64,3,64,827060.079,12922.813734375,1,3.107376,18560
measured_emulation,direct_ovs,64,4,64,819945.3,12811.6453125,1,3.290345,18688
measured_emulation,direct_ovs,64,5,64,781772.974,12215.20271875,1,3.472925,18688
