evidence_level,mode,network_size,repetition,flow_count,install_sum_us,install_mean_us,ping_success,python_cpu_s,python_max_rss_kib,trial_index,block_position
measured_emulation,daim_process_per_rule,8,1,8,104479.161,13059.895125,1,0.047452,14976,1,1
measured_emulation,direct_ovs_cli,8,1,8,72169.133,9021.141625,1,0.06999,14976,2,2
measured_emulation,direct_osken,8,1,8,20842.883,2605.360375,1,0.10006999999999999,15104,3,3
measured_emulation,daim_persistent,8,1,8,42427.46,5303.4325,1,0.126685,15104,4,4
measured_emulation,daim_process_per_rule,16,1,16,202533.053,12658.3158125,1,0.16376200000000002,15488,5,1
measured_emulation,direct_osken,16,1,16,45964.531,2872.7831875,1,0.20314899999999997,15488,6,2
measured_emulation,daim_persistent,16,1,16,122728.114,7670.507125,1,0.25795199999999996,15616,7,3
measured_emulation,direct_ovs_cli,16,1,16,222262.28699999998,13891.392937499999,1,0.342066,15616,8,4
measured_emulation,direct_osken,32,1,32,321078.888,10033.71525,1,0.644881,16128,9,1
measured_emulation,daim_persistent,32,1,32,263905.294,8247.0404375,1,0.7643899999999999,16128,10,2
measured_emulation,daim_process_per_rule,32,1,32,475787.527,14868.36021875,1,0.8633109999999999,16256,11,3
measured_emulation,direct_ovs_cli,32,1,32,420549.941,13142.18565625,1,0.94983,16384,12,4
measured_emulation,direct_osken,64,1,64,686041.491,10719.398296875,1,1.081795,17408,13,1
measured_emulation,direct_ovs_cli,64,1,64,792171.512,12377.679875,1,1.2543099999999998,17408,14,2
measured_emulation,daim_process_per_rule,64,1,64,1175817.005,18372.140703125,1,1.752452,18048,15,3
measured_emulation,daim_persistent,64,1,64,2695937.306,42124.02040625,1,2.416769,18048,16,4
measured_emulation,direct_osken,8,2,8,8822.862000000001,1102.8577500000001,1,2.51189,18048,17,1
measured_emulation,direct_ovs_cli,8,2,8,283504.29,35438.03625,1,2.635274,18048,18,2
measured_emulation,daim_persistent,8,2,8,70439.004,8804.8755,1,2.7685569999999995,18048,19,3
measured_emulation,daim_process_per_rule,8,2,8,94967.538,11870.94225,1,2.79672,18048,20,4
measured_emulation,direct_osken,16,2,16,61346.028,3834.12675,1,2.879817,18048,21,1
measured_emulation,direct_ovs_cli,16,2,16,263023.642,16438.977625,1,3.0603679999999995,18048,22,2
measured_emulation,daim_persistent,16,2,16,107253.222,6703.326375,1,3.218091,18048,23,3
measured_emulation,daim_process_per_rule,16,2,16,223417.707,13963.6066875,1,3.2711569999999996,18048,24,4
measured_emulation,daim_process_per_rule,32,2,32,468544.583,14642.01821875,1,3.3759569999999997,18048,25,1
measured_emulation,direct_ovs_cli,32,2,32,820819.171,25650.59909375,1,3.677713,18048,26,2
