evidence_level,mode,network_size,repetition,flow_count,install_sum_us,install_mean_us,ping_success,python_cpu_s,python_max_rss_kib
measured_emulation,daim_process_per_rule,8,1,8,108467.72,13558.465,1,0.058786,15360
measured_emulation,daim_process_per_rule,8,2,8,108761.301,13595.162625,1,0.086889,15360
measured_emulation,daim_process_per_rule,8,3,8,108959.798,13619.97475,1,0.11355,15360
measured_emulation,daim_process_per_rule,8,4,8,108568.257,13571.032125,1,0.143726,15360
measured_emulation,daim_process_per_rule,8,5,8,107536.637,13442.079625,1,0.168257,15360
measured_emulation,daim_process_per_rule,16,1,16,213165.821,13322.8638125,1,0.22126999999999997,15360
measured_emulation,daim_process_per_rule,16,2,16,211634.374,13227.148375,1,0.269387,15872
measured_emulation,daim_process_per_rule,16,3,16,207625.39,12976.586875,1,0.318544,15872
measured_emulation,daim_process_per_rule,16,4,16,209985.749,13124.1093125,1,0.36918399999999996,16000
measured_emulation,daim_process_per_rule,16,5,16,212084.403,13255.2751875,1,0.41756099999999996,16000
measured_emulation,daim_process_per_rule,32,1,32,450538.27,14079.3209375,1,0.5085999999999999,16256
measured_emulation,daim_process_per_rule,32,2,32,442385.566,13824.5489375,1,0.6054059999999999,16256
measured_emulation,daim_process_per_rule,32,3,32,434792.142,13587.2544375,1,0.704371,16256
measured_emulation,daim_process_per_rule,32,4,32,441435.929,13794.87278125,1,0.802456,16512
measured_emulation,daim_process_per_rule,32,5,32,447291.013,13977.84415625,1,0.899696,16768
measured_emulation,daim_process_per_rule,64,1,64,1107442.018,17303.78153125,1,1.086044,17408
measured_emulation,daim_process_per_rule,64,2,64,1065630.576,16650.47775,1,1.2765579999999999,17408
measured_emulation,daim_process_per_rule,64,3,64,1058074.266,16532.41040625,1,1.466475,17664
measured_emulation,daim_process_per_rule,64,4,64,1085332.9949999999,16958.328046874998,1,1.660928,17792
measured_emulation,daim_process_per_rule,64,5,64,1092577.645,17071.525703125,1,1.856118,17920
measured_emulation,daim_persistent,8,1,8,44345.445,5543.180625,1,1.912334,17920
measured_emulation,daim_persistent,8,2,8,47927.132,5990.8915,1,1.937456,17920
measured_emulation,daim_persistent,8,3,8,50382.033,6297.754125,1,1.9637349999999998,17920
measured_emulation,daim_persistent,8,4,8,45400.687,5675.085875,1,1.98949,17920
measured_emulation,daim_persistent,8,5,8,46365.888,5795.736,1,2.016508,17920
measured_emulation,daim_persistent,16,1,16,103493.547,6468.3466875,1,2.064736,17920
measured_emulation,daim_persistent,16,2,16,100675.311,6292.2069375,1,2.119694,17920
measured_emulation,daim_persistent,16,3,16,107987.769,6749.2355625,1,2.169967,17920
measured_emulation,daim_persistent,16,4,16,102695.756,6418.48475,1,2.22445,17920
measured_emulation,daim_persistent,16,5,16,104471.703,6529.4814375,1,2.27942,17920
measured_emulation,daim_persistent,32,1,32,279007.188,8718.974625,1,2.376452,17920
measured_emulation,daim_persistent,32,2,32,284065.859,8877.05809375,1,2.480822,17920
measured_emulation,daim_persistent,32,3,32,284060.439,8876.88871875,1,2.582887,17920
measured_emulation,daim_persistent,32,4,32,273137.46,8535.545625,1,2.68618,18048
measured_emulation,daim_persistent,32,5,32,287559.12,8986.2225,1,2.788618,18176
measured_emulation,daim_persistent,64,1,64,883747.724,13808.5581875,1,2.9808749999999997,18560
measured_emulation,daim_persistent,64,2,64,848196.669,13253.072953125,1,3.18257,18688
measured_emulation,daim_persistent,64,3,64,854410.707,13350.167296875,1,3.3897440000000003,18944
measured_emulation,daim_persistent,64,4,64,826150.902,12908.60784375,1,3.597918,18944
measured_emulation,daim_persistent,64,5,64,868223.625,13565.994140625,1,3.806985,18944
measured_emulation,direct_ovs_cli,8,1,8,81371.663,10171.457875,1,3.858554,18944
measured_emulation,direct_ovs_cli,8,2,8,79063.593,9882.949125,1,3.883422,18944
measured_emulation,direct_ovs_cli,8,3,8,79079.508,9884.9385,1,3.906586,18944
measured_emulation,direct_ovs_cli,8,4,8,78911.176,9863.897,1,3.930321,18944
measured_emulation,direct_ovs_cli,8,5,8,77193.937,9649.242125,1,3.9534000000000002,18944
measured_emulation,direct_ovs_cli,16,1,16,159334.299,9958.3936875,1,3.99781,18944
measured_emulation,direct_ovs_cli,16,2,16,157993.305,9874.5815625,1,4.045991,18944
measured_emulation,direct_ovs_cli,16,3,16,156810.853,9800.6783125,1,4.093688,18944
measured_emulation,direct_ovs_cli,16,4,16,157687.51799999998,9855.469874999999,1,4.146094,18944
measured_emulation,direct_ovs_cli,16,5,16,157931.681,9870.7300625,1,4.196275999999999,18944
measured_emulation,direct_ovs_cli,32,1,32,333776.414,10430.5129375,1,4.286498,18944
measured_emulation,direct_ovs_cli,32,2,32,328113.903,10253.55946875,1,4.380155,18944
measured_emulation,direct_ovs_cli,32,3,32,327864.277,10245.75865625,1,4.475912,18944
measured_emulation,direct_ovs_cli,32,4,32,337686.837,10552.71365625,1,4.575497,18944
measured_emulation,direct_ovs_cli,32,5,32,336820.591,10525.64346875,1,4.674254,19200
measured_emulation,direct_ovs_cli,64,1,64,834626.914,13041.04553125,1,4.849989,19456
measured_emulation,direct_ovs_cli,64,2,64,832346.124,13005.4081875,1,5.044602,19456
measured_emulation,direct_ovs_cli,64,3,64,834913.345,13045.521015625,1,5.234887,19712
measured_emulation,direct_ovs_cli,64,4,64,830171.327,12971.426984375,1,5.432797,19840
measured_emulation,direct_ovs_cli,64,5,64,814844.502,12731.94534375,1,5.620122,19840
measured_emulation,direct_osken,8,1,8,15138.571,1892.321375,1,5.671978,19840
measured_emulation,direct_osken,8,2,8,14086.079,1760.759875,1,5.699066,19968
measured_emulation,direct_osken,8,3,8,8665.445,1083.180625,1,5.722312,19968
measured_emulation,direct_osken,8,4,8,9948.355,1243.544375,1,5.7467880000000005,19968
measured_emulation,direct_osken,8,5,8,17358.682,2169.83525,1,5.801847,19968
measured_emulation,direct_osken,16,1,16,46208.5,2888.03125,1,5.836321,19968
measured_emulation,direct_osken,16,2,16,44989.174,2811.823375,1,5.872476,19968
measured_emulation,direct_osken,16,3,16,47557.987,2972.3741875,1,5.910023,19968
measured_emulation,direct_osken,16,4,16,41740.066,2608.754125,1,5.945709,19968
measured_emulation,direct_osken,16,5,16,41508.899,2594.3061875,1,5.983207999999999,19968
measured_emulation,direct_osken,32,1,32,162812.999,5087.90621875,1,6.047797,19968
measured_emulation,direct_osken,32,2,32,157944.697,4935.77178125,1,6.118863,19968
measured_emulation,direct_osken,32,3,32,171154.486,5348.5776875,1,6.18897,19968
measured_emulation,direct_osken,32,4,32,176307.948,5509.623375,1,6.257764,19968
measured_emulation,direct_osken,32,5,32,176979.403,5530.60634375,1,6.328472,19968
measured_emulation,direct_osken,64,1,64,707942.74,11061.6053125,1,6.458777,19968
measured_emulation,direct_osken,64,2,64,725440.368,11335.00575,1,6.600452000000001,20096
measured_emulation,direct_osken,64,3,64,697066.455,10891.663359375,1,6.746956,20096
measured_emulation,direct_osken,64,4,64,766985.632,11984.1505,1,6.890732999999999,20096
measured_emulation,direct_osken,64,5,64,718054.573,11219.602703125,1,7.038835000000001,20096
