evidence_level,network_size,repetition,flow_count,install_sum_us,install_min_us,install_max_us,install_mean_us,ping_success,python_user_cpu_s,python_system_cpu_s,python_max_rss_kib
measured_emulation,8,1,8,105552.126,12019.541,16836.542,13194.01575,1,0.036802999999999995,0.01492,14976
measured_emulation,8,2,8,100748.193,12010.794,13007.76,12593.524125,1,0.051946,0.023895,14976
measured_emulation,8,3,8,107109.099,12522.102,14120.781,13388.637375,1,0.069899,0.031772,14976
measured_emulation,8,4,8,99989.765,11918.956,13191.107,12498.720625,1,0.087376,0.039817,15104
measured_emulation,8,5,8,101545.667,11730.097,14710.069,12693.208375,1,0.10024899999999999,0.047736999999999995,15104
measured_emulation,16,1,16,209383.286,12620.278,14021.31,13086.455375,1,0.139965,0.053653,15360
measured_emulation,16,2,16,199812.562,11608.421,13293.889,12488.285125,1,0.167576,0.070621,15360
measured_emulation,16,3,16,202699.441,11391.814,13671.875,12668.7150625,1,0.204638,0.078524,15488
measured_emulation,16,4,16,208128.517,12275.785,14296.249,13008.0323125,1,0.23782599999999998,0.089184,15488
measured_emulation,16,5,16,205621.796,12161.257,13308.626,12851.36225,1,0.268133,0.10321899999999999,15744
measured_emulation,32,1,32,420191.034,11773.462,14948.021,13130.9698125,1,0.325187,0.129603,16000
measured_emulation,32,2,32,446453.256,12092.59,17550.312,13951.66425,1,0.395539,0.157052,16128
measured_emulation,32,3,32,425758.619,12266.62,16399.97,13304.95684375,1,0.45772199999999996,0.185912,16256
measured_emulation,32,4,32,414602.052,11997.867,16418.154,12956.314125,1,0.5102,0.224773,16256
measured_emulation,32,5,32,413675.674,12130.428,16270.16,12927.3648125,1,0.572156,0.252731,16512
measured_emulation,64,1,64,1037545.961,12718.06,27651.774,16211.655640625,1,0.694973,0.295658,17152
measured_emulation,64,2,64,1048060.686,12751.243,26938.765,16375.94821875,1,0.8283969999999999,0.34447,17280
measured_emulation,64,3,64,1054770.374,12495.312,27574.823,16480.78709375,1,0.944612,0.409653,17408
measured_emulation,64,4,64,1040434.526,12760.985,28366.091,16256.78946875,1,1.058451,0.47539499999999996,17536
measured_emulation,64,5,64,1025465.246,12546.902,26117.549,16022.89446875,1,1.174908,0.537342,17664
