evidence_level,switch_count,method,repetition,measured,switch,direction,latency_us,returncode,stderr
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s1,forward,10331.166,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s1,reverse,11150.833,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s2,forward,9643.333,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s2,reverse,9617.875,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s3,forward,8943.916,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s3,reverse,9689.166,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s4,forward,9311.791,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s4,reverse,9411.5,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s5,forward,9174.0,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s5,reverse,8783.334,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s6,forward,9091.25,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s6,reverse,9174.917,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s7,forward,9355.709,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s7,reverse,9797.25,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s8,forward,9024.333,0,
measured_emulation_calibration,8,direct_ovs_ofctl,0,0,s8,reverse,8779.084,0,
measured_emulation_calibration,8,daim_adapter,0,0,s1,forward,12487.792,0,
measured_emulation_calibration,8,daim_adapter,0,0,s1,reverse,11784.209,0,
measured_emulation_calibration,8,daim_adapter,0,0,s2,forward,12549.625,0,
measured_emulation_calibration,8,daim_adapter,0,0,s2,reverse,12512.833,0,
measured_emulation_calibration,8,daim_adapter,0,0,s3,forward,14786.584,0,
measured_emulation_calibration,8,daim_adapter,0,0,s3,reverse,12683.625,0,
measured_emulation_calibration,8,daim_adapter,0,0,s4,forward,11983.417,0,
measured_emulation_calibration,8,daim_adapter,0,0,s4,reverse,11560.417,0,
measured_emulation_calibration,8,daim_adapter,0,0,s5,forward,12843.292,0,
measured_emulation_calibration,8,daim_adapter,0,0,s5,reverse,11946.875,0,
